0,1,2
Source,Destination,Route
"('21.59983', '71.21169', 'Amreli', 'IN', 'Asia/Kolkata')","('25.13915', '73.06784', 'Sheoganj', 'IN', 'Asia/Kolkata')","[('29.22254', '79.5286'), ('12.25282', '79.41727'), ('21.53889', '71.57737'), ('22.4711', '88.1453'), ('30.81383', '75.16878'), ('12.95629', '78.27539'), ('25.49043', '85.94001'), ('25.92493', '73.66633'), ('24.41288', '76.56719'), ('23.07492', '88.28637'), ('22.10194', '85.37752')]"
"('21.46527', '83.97573', 'Sambalpur', 'IN', 'Asia/Kolkata')","('20.88098', '75.11937', 'Parola', 'IN', 'Asia/Kolkata')","[('30.81383', '75.16878'), ('32.55531', '76.12647'), ('25.49043', '85.94001'), ('11.93381', '79.82979'), ('21.59983', '71.21169'), ('26.44931', '91.61356'), ('22.10194', '85.37752'), ('9.57046', '76.32756'), ('28.98002', '77.70636'), ('28.92694', '78.23456'), ('22.19303', '88.18466')]"
"('22.75218', '72.68533', 'Kheda', 'IN', 'Asia/Kolkata')","('31.28092', '74.85849', 'Patti', 'IN', 'Asia/Kolkata')","[('25.6439', '77.9129'), ('25.6439', '77.9129'), ('33.37526', '74.3092'), ('21.59983', '71.21169'), ('11.00599', '77.5609'), ('33.37526', '74.3092'), ('28.98002', '77.70636'), ('11.50526', '77.23826'), ('12.25282', '79.41727'), ('10.10649', '76.35484'), ('24.81757', '84.63445')]"
"('25.13915', '73.06784', 'Sheoganj', 'IN', 'Asia/Kolkata')","('19.21667', '73.08333', 'Dombivli', 'IN', 'Asia/Kolkata')","[('17.34769', '78.55757'), ('20.88197', '85.83334'), ('25.75728', '75.37991'), ('20.88197', '85.83334'), ('11.00599', '77.5609'), ('31.28092', '74.85849'), ('20.88197', '85.83334'), ('15.45144', '78.14797'), ('24.81757', '84.63445'), ('26.44931', '91.61356'), ('11.50526', '77.23826')]"
"('15.45144', '78.14797', 'Betamcherla', 'IN', 'Asia/Kolkata')","('32.55531', '76.12647', 'Chamba', 'IN', 'Asia/Kolkata')","[('9.57046', '76.32756'), ('25.87498', '86.59611'), ('10.58806', '77.24779'), ('23.1959', '86.51499'), ('26.44931', '91.61356'), ('30.21121', '74.4818'), ('18.18158', '76.03889'), ('25.49043', '85.94001')]"
"('24.41288', '76.56719', 'Aklera', 'IN', 'Asia/Kolkata')","('23.49668', '86.68363', 'Adra', 'IN', 'Asia/Kolkata')","[('25.49043', '85.94001'), ('18.18158', '76.03889'), ('23.1959', '86.51499'), ('25.66795', '85.83636'), ('18.51957', '73.85535'), ('10.12268', '77.54372'), ('21.46527', '83.97573'), ('29.21399', '78.95693'), ('12.1277', '78.15794')]"
"('23.49668', '86.68363', 'Adra', 'IN', 'Asia/Kolkata')","('25.13915', '73.06784', 'Sheoganj', 'IN', 'Asia/Kolkata')","[('23.49668', '86.68363'), ('9.82564', '78.25795'), ('26.11527', '86.59509'), ('33.37526', '74.3092'), ('25.49043', '85.94001'), ('22.75218', '72.68533'), ('11.00599', '77.5609'), ('24.05979', '77.40858')]"
"('33.37526', '74.3092', 'Rajaori', 'IN', 'Asia/Kolkata')","('27.9247', '78.40102', 'Chharra', 'IN', 'Asia/Kolkata')","[('11.12018', '76.11996'), ('28.92694', '78.23456'), ('9.82564', '78.25795'), ('23.1959', '86.51499'), ('18.51957', '73.85535'), ('17.54907', '82.85749'), ('26.44931', '91.61356'), ('26.32293', '91.00632'), ('25.92127', '86.79271'), ('9.57046', '76.32756'), ('25.6439', '77.9129')]"
"('26.32293', '91.00632', 'Barpeta', 'IN', 'Asia/Kolkata')","('21.34222', '71.30633', 'Kundla', 'IN', 'Asia/Kolkata')","[('25.49043', '85.94001'), ('25.49043', '85.94001'), ('12.1277', '78.15794'), ('28.71271', '77.656'), ('18.51957', '73.85535'), ('24.81757', '84.63445'), ('28.98002', '77.70636'), ('14.62072', '74.83554'), ('15.73628', '75.96976')]"
"('25.92127', '86.79271', 'Madhipura', 'IN', 'Asia/Kolkata')","('25.66795', '85.83636', 'Dalsingh Sarai', 'IN', 'Asia/Kolkata')","[('26.11527', '86.59509'), ('12.1277', '78.15794'), ('10.58806', '77.24779'), ('22.19303', '88.18466'), ('16.06213', '76.0586'), ('25.13915', '73.06784'), ('31.28092', '74.85849'), ('26.32293', '91.00632'), ('11.00599', '77.5609')]"
"('21.59983', '71.21169', 'Amreli', 'IN', 'Asia/Kolkata')","('17.34769', '78.55757', 'Lal Bahadur Nagar', 'IN', 'Asia/Kolkata')","[('25.13915', '73.06784'), ('12.25282', '79.41727'), ('10.10649', '76.35484'), ('18.18158', '76.03889'), ('22.75218', '72.68533'), ('33.37526', '74.3092'), ('25.13915', '73.06784'), ('25.92127', '86.79271'), ('26.2649', '81.54855'), ('17.54907', '82.85749')]"
"('25.13915', '73.06784', 'Sheoganj', 'IN', 'Asia/Kolkata')","('16.06213', '76.0586', 'Hungund', 'IN', 'Asia/Kolkata')","[('33.37526', '74.3092'), ('25.92493', '73.66633'), ('18.87813', '72.93924'), ('9.57046', '76.32756'), ('25.66795', '85.83636'), ('12.1277', '78.15794'), ('26.11527', '86.59509'), ('23.1959', '86.51499'), ('22.10194', '85.37752'), ('10.58806', '77.24779'), ('22.19303', '88.18466'), ('30.21121', '74.4818')]"
"('34.08565', '74.80555', 'Srinagar', 'IN', 'Asia/Kolkata')","('10.10649', '76.35484', 'Alwaye', 'IN', 'Asia/Kolkata')","[('30.81383', '75.16878'), ('23.1959', '86.51499'), ('26.11527', '86.59509'), ('28.71271', '77.656'), ('22.10194', '85.37752'), ('21.34222', '71.30633'), ('28.92694', '78.23456'), ('22.10194', '85.37752'), ('29.22254', '79.5286'), ('23.49668', '86.68363'), ('25.13915', '73.06784')]"
"('25.49043', '85.94001', 'Teghra', 'IN', 'Asia/Kolkata')","('20.88098', '75.11937', 'Parola', 'IN', 'Asia/Kolkata')","[('12.1277', '78.15794'), ('26.11527', '86.59509'), ('15.5439', '73.7553'), ('25.87498', '86.59611'), ('28.98002', '77.70636'), ('34.08565', '74.80555'), ('27.9247', '78.40102'), ('25.66795', '85.83636'), ('30.21121', '74.4818'), ('31.28092', '74.85849')]"
"('32.55531', '76.12647', 'Chamba', 'IN', 'Asia/Kolkata')","('20.88098', '75.11937', 'Parola', 'IN', 'Asia/Kolkata')","[('26.11527', '86.59509'), ('24.05979', '77.40858'), ('29.21399', '78.95693'), ('12.95629', '78.27539'), ('9.82564', '78.25795'), ('18.18158', '76.03889'), ('24.81757', '84.63445'), ('28.98002', '77.70636'), ('23.07492', '88.28637')]"
